Employment - Title,Job Description,Employment - Type,Major,Skills / Qualifications
Business Analyst,"    join McKinsey     generalist Business Analyst (BA),     joining   firm     challenge     invest heavily     professional development.     BA role,         opportunity   work   teams         organizations       –     private, public,   social sectors – solve         difficult problems.     tenure,     gain broad exposure     variety     industries   functional areas.   work   McKinsey       teams   consultants,       client   address   fundamental challenge     organization.   example, client teams   answer questions       client’s strategy, organization, marketing practices,   operational structure.   BA   McKinsey       member     client engagement team.     work     client site     McKinsey colleagues       client team, owning   distinct piece     project.   examples     specific work   McKinsey BA     include: interviewing clients, leading client teams, building financial models, creating   delivering presentations,   working   McKinsey subject experts   develop perspectives   insights     client. Typically,   engagements       12 weeks.     BA,       assigned     engagement     time.",Career Employment – Graduating Students & Alumni,"Economics - Business, Logistics Management, Operations Management, General Business, Master   Business Logistics Engineering, Master   Business Administration, Master   Business Operational Excellence, Industrial   Systems Engineering, Industrial   Systems Engineering, Data Analytics","Ideal candidates     Generalist BA position: 1)       complete,       completed,   undergraduate   master’s degree           years   work experience   completing   undergraduate degree 2)     strong commitment   excellence   personal   professional growth 3)   demonstrated outstanding academic achievement     aptitude   analytics 4)     strong record   leadership     work setting and/or extracurricular activities 5) Enjoy working   teams 6)   problem solving exciting 7)   resourceful, responsible, patient, tenacious, informed, independent, confident,       energy"
Summer Business Analyst,"McKinsey & Company,   global consulting firm     100 offices       60 countries,   committed   helping clients   lasting   substantial improvements     performance.     helped leaders   companies, governments   nonprofit organizations worldwide address   greatest challenges       80 years.     join McKinsey     Summer Business Analyst,     joining   firm     challenge     invest heavily     professional development.     Summer BA role,         opportunity   work   teams         organizations       –     private, public,   social sectors – solve         difficult problems.   work   McKinsey       teams   consultants,       client   address   fundamental challenge     organization.   example, client teams   answer questions       client’s strategy, organization, marketing practices,   operational structure.   Summer BA   McKinsey       member     client engagement team.     work     client site     McKinsey colleagues       client team, owning   distinct piece     project.   examples     specific work   McKinsey BA     include interviewing clients, leading client teams, building financial models, creating   delivering presentations,   working   McKinsey subject experts   develop perspectives   insights     client.   Summer Business Analyst program     group   undergraduate students   eligible graduate students first-hand experience   consulting   McKinsey.     Summer BA,     work     host office   10-12 weeks.     participate     introductory training program,         range   social activities           office     firm.           summer,     receive   offer   join       full-time Business Analyst   completion     degree.",Internship,"Economics - Business, Logistics Management, Operations Management, General Business, Master   Business Logistics Engineering, Master   Business Administration, Master   Business Operational Excellence, Industrial   Systems Engineering, Industrial   Systems Engineering, Economics, Economics","Ideal candidates     Summer BA position: 1)       junior year   planning   graduate   December 2016     2017 2)         senior year   planning   enter   1-year masters program 3)       completing     year     non-business, 2-year masters program         2 years   work experience 4)           year       year commitment   Teach   America     3 years       work experience     5)     strong commitment   excellence   personal   professional growth 6)   demonstrated outstanding academic performance     aptitude   analytics 7)     strong record   initiative-taking   leadership     work setting and/or extracurricular activities 8)   resourceful, intellectually curious, empathetic, poised, high energy   mature 9)     genuine     business     problem solving exhilarating 10) Enjoy working   teams"
LIMS Implementation Specialist,"Wavefront Software     leading provider   Laboratory   Management Systems     variety   laboratory markets.   laboratories   complex data management     business processes.     result   LIMS     extensive feature set,   configuration options,   typically involves complex customizations   implementation. Providing support     software     customers requires     strong analytical capabilities, good problem solving skills,     ability   understand complex systems. Wavefront         individual     career   thrives     flexible   growing work environment,   dedication     customer     supportive   colleagues   valued   rewarded. Wavefront   generous benefits including comprehensive medical   dental care, matching 401K, paid time off, disability coverage,     benefits     provide financial protection         family. JOB DESCRIPTION:   direction     Project Managers,   primary responsibilities     follows: • Assist     LIMS implementations   LIMS configuration   report development tasks • Assist   customer upgrade projects.   typically involve updating   customer test environment, working     customer   testing   validation,   finally updating   production environment. • Technical documentation   Wavefront products       customer specific documentation Wavefront Software     equal opportunity employer M/F/Vets/Disabled",Career Employment – Graduating Students & Alumni,"Health   Management   Systems, Anatomy, Neuroscience,   Science   Engineering, Electrical     Engineering, Engineering Physics, Environmental Engineering, Food Agricultural   Biological Engineering, Industrial   Systems Engineering, Environment Economy Development   Sustainability, Sustainable Plant Systems, Entomology, Environmental Science, Environmental Policy   Decision Making, Forestry Fisheries   Wildlife, Natural Resources Mgmt, Environment   Natural Resources, Microbiology, Physics, Biochemistry, Biology, Chemistry, Geographic   Sciences, Mathematics, Mathematics - MS & PhD, Microbiology, Physics","  ideal candidate     laboratory experience   exposure   LIMS software. Education: • BS technical degree (Chemistry, Physics, Biology, Engineering   similar). •   strong   skills   desired. Experience: • Experience   laboratory operational environment   exposure   LIMS, Windows, SQL server   desirable. • Strong analytical   problem solving capabilities • Ability   report   analyze data • Ability   communicate effectively (verbal, written, personal interaction)."
Software / Professional Services Consultants,"Innovative Systems, Inc.,       fastest growing global leaders     development   delivery   software solutions   services   expanding   Professional Services teams   Pittsburgh     markets.     role,     deliver, configure,   implement   industry leading software solutions   enterprise clients     globe.         fast-paced entrepreneurial vibe,   environment   fosters learning, international travel,     chance   stand       crowd read on!   successful candidate     Highly inquisitive     solutions-oriented   science, software, engineering,   systems, mathematics,     major     combine technical acumen   strong interpersonal skills.         doing. Professional Services Consultants   multi-faceted contributors   collaborate   departments   geographies.     receive training   mentoring             brightest     industry   preparation   work   diverse client companies   cultures       world.   day       you: Interface   external   internal clients     execute   facets     software   services delivery phases (pre-sales support, product delivery, configuration, testing, training, integration,   implementation) Collaborate   sales, consulting,     internal teams   develop   understanding   prospective client   Design   deliver effective presentations   technical demonstrations   Innovatives products     sales cycle   provide clients     clear understanding     products effectiveness         environment Assist sales   development   product justification Consult   clients   analyze   develop understanding     customization   Implement software products     environments; on-site   remotely Utilize software application programming   integrate Innovatives solutions   clients resident systems   processes Customize Innovatives software   align     client   Provide consulting   client training, on-site   remotely Manage Case Study projects   client expectations   batch processes   integrate Innovatives products   client processes Perform testing   ensure product implementation meets   exceeds performance   quality standards Provide client support   post-implementation handoff   Innovatives Product Support team Innovative offers     competitive salary, excellent benefits,     great culture!     experience autonomy, flexibility, superb mentoring,   colleagues         brightest,   supportive   friendly anywhere.   Innovative,     work   projects     challenging   create       business outcomes   enterprises     world.",Career Employment – Graduating Students & Alumni,"Health   Management   Systems,   Systems,   Science   Engineering, Electrical     Engineering, Engineering Physics,   Science   Engineering, Electrical     Engineering, Data Analytics,       Science","  skills   experience     includes Undergraduate   higher level degree       software engineering,       science, mathematics     degree Experience   C, Java, .Net, SQL       languages   technologies Highly motivated self-starter   strong commitment   follow-through Ability   understand, interpret,   effectively communicate technical concepts Ability   understand, articulate,   define solutions   meet   clients   Strong interpersonal skills   excellent written   verbal communication skills Proven, effective team player / collaborator Ability   willingness   travel     60% (domestically   internationally)             Understanding   working knowledge   data management concepts, data analysis, data quality, data integration, business intelligence,     technologies Fluency     languages"
"  Analyst, International Center   Housing Risk (840-410)","  International Center   Housing Risk     American Enterprise Institute conducts cutting-edge     publishes   unprecedented set   risk metrics   improve   operation   housing markets, mortgage lending practices,   housing policy.     seeking     analyst   work       Center’s   codirectors       range     Center’s initiatives.   primary responsibilities     position include producing   data series   presentation materials     Center’s regular data releases   conference calls; managing   Center’s extensive data resources; writing blog posts   longer pieces   relevant policy topics;   carrying   empirical work   support longer-term   projects.     analyst       opportunity   coauthor papers     Center’s codirectors   visiting scholars   publication   academic journals. Founded   1938, AEI     community   scholars dedicated   promoting public policy   increases individual opportunity   strengthens free enterprise. Qualified applicants   submit   online application, complete   cover letter, resume,     writing sample     topic       position.",Career Employment – Graduating Students & Alumni,"Public Policy   Management, Master   Finance –Specialized, Mathematical Sciences - MMS, Economics, Mathematics - MS & PhD, Political Science","Candidates     position       Master’s Degree   economics, finance, real estate,   public policy   possess strong quantitative, communication,   organizational skills.   ability   work effectively     team environment   essential. Relevant job experience   highly desired;   ideal candidate     position       minimum     years’ experience analyzing U.S. mortgage   housing markets         large loan-level   property-level datasets.       full-time appointment   competitive compensation."
Intern - Compliance & Ethics: Office   Privacy," #   Positions 1 Job Type Professional/Technical Full/Part Time Internship Shift   Weekends Required   RequiredWhy   Farm®?   commitment   customers       No. 1 insurer   cars   homes     United States.     commitment     work force                 stay here.   90-year track record highlights   Farm     employer   choice committed   providing career opportunities       lifetime.   diverse backgrounds   talent,   meaningful work   comprehensive benefits, ""Like   good neighbor...""       slogan.                 business.Check     Video Gallery - https://careers.statefarm.com/employee/emp-see-for-yourself.asp   learn more.       DUTIES   RESPONSIBILITIES     POSITION?Various duties depending   department Completes training   workstations   job/department specific applications Demonstrates ability   effectively analyze   execute professional level work     assigned department Work   special projects   assigned     supervisor Demonstrates   understanding     Farm policies   procedures   KNOWLEDGE   SKILLS   NEEDED     SUCCESSFUL     POSITION?Must     college student Effective communication skills,   oral   written Ability   work   team environment ITEMS   NOTEPosition   eligible   merit increases ADDITIONAL INFORMATIONThis position       internship   Enterprise Compliance   Ethics     Office   Privacy. Specific project work     determined     manager.   HR Guidelines, Intern starting salary     $16/hour.   travel reimbursement   housing stipends         internship.BENEFITS: TOTAL REWARDSOur Total Rewards benefits package includes:Competitive starting salary Annual merit reviews Annual bonus potential         eligible   participate   Medical, Dental, Life   Disability Insurance, Vision, 401(k) Plan, Credit Union,   fully funded retirement pension plan,   more.For         company, careers   Total Rewards, visit www.statefarm.com/careers - http://www.statefarm.com/careers/index_emp.asp.       learn         expect     employment process   - http://www.statefarm.com/careers/emp_process.asp.   Farm Insurance     equal opportunity employer PI91826680 Apply Here: https://online2.statefarm.com/apps/careers/psc/cgprdext/RECRUITING/EREC_EXT/c/HRS_HRAM.HRS_CE.GBL?Page=HRS_CE_JOB_DTL_SFI&Action=A&JobOpeningId=55828&SiteId=1&PostingSeq=1",Internship,"Undergraduate Majors,   Science   Engineering, Electrical     Engineering, Engineering Physics, Actuarial Science, Communication, English, Mathematics,       Science","Preferred Qualifications: Desired Majors: Business Compliance & Ethics,   Technology, Business Administration, Risk Management, Pre-Law, Accounting, English/Communications 3.5 GPA     Proficiency   Microsoft Office® products Technical   functional expertise Candidates   demonstrate resourcefulness, possess strong written   oral communication skills   exhibit excellent relationship building   teamwork skills"
Intern - Compliance & Ethics: Compliance Technology," #   Positions 1 Job Type Professional/Technical Full/Part Time Internship Shift   Weekends Required   RequiredWhy   Farm®?   commitment   customers       No. 1 insurer   cars   homes     United States.     commitment     work force                 stay here.   90-year track record highlights   Farm     employer   choice committed   providing career opportunities       lifetime.   diverse backgrounds   talent,   meaningful work   comprehensive benefits, ""Like   good neighbor...""       slogan.                 business.Check     Video Gallery - https://careers.statefarm.com/employee/emp-see-for-yourself.asp   learn more.       DUTIES   RESPONSIBILITIES     POSITION?Various duties depending   department Completes training   workstations   job/department specific applications Demonstrates ability   effectively analyze   execute professional level work     assigned department Work   special projects   assigned     supervisor Demonstrates   understanding     Farm policies   procedures   KNOWLEDGE   SKILLS   NEEDED     SUCCESSFUL     POSITION?Must     college student Effective communication skills,   oral   written Ability   work   team environment ITEMS   NOTEPosition   eligible   merit increases ADDITIONAL INFORMATIONThis position       internship   Enterprise Compliance   Ethics   Compliance Technology. Specific project work     determined     manager.   HR Guidelines, Intern starting salary     $16/hour.   travel reimbursement   housing stipends         internship.BENEFITS: TOTAL REWARDSOur Total Rewards benefits package includes:Competitive starting salary Annual merit reviews Annual bonus potential         eligible   participate   Medical, Dental, Life   Disability Insurance, Vision, 401(k) Plan, Credit Union,   fully funded retirement pension plan,   more.For         company, careers   Total Rewards, visit www.statefarm.com/careers - http://www.statefarm.com/careers/index_emp.asp.       learn         expect     employment process   - http://www.statefarm.com/careers/emp_process.asp.   Farm Insurance     equal opportunity employer PI91826817 Apply Here: http://www.Click2apply.net/54844mrb3h",Internship,"Undergraduate Majors,   Science   Engineering, Electrical     Engineering, Engineering Physics, Actuarial Science, Communication, English, Mathematics,       Science","Preferred Qualifications: Desired Majors: Business Compliance & Ethics,   Technology, Business Administration, Risk Management, Pre-Law, Accounting, English/Communications 3.5 GPA     Proficiency   Microsoft Office® products Technical   functional expertise Candidates   demonstrate resourcefulness, possess strong written   oral communication skills   exhibit excellent relationship building   teamwork skills"
Hybrid Trader Trainee Intern (Summer 2016),"Belvedere Trading       summer interns     interested   gaining exposure     financial markets     challenging   comprehensive 10 week long rotational program.   program   consist   hands-on rotations     Belvedere trading desks   development teams.     trade desk, Hybrids     exposed     fast paced, intense pressure,   high reward     options market making.     development teams,     learn   practices   design, collaborate   create innovative solutions,   implement     sophisticated technologies. Belvedere's hybrid rotational program     perfect place     highly quantitative   competitive individual       build   broad base   skills     learn       finance industry.     are: Belvedere Trading     leading proprietary trading firm   specializes   equity     commodity options.       market makers helping   provide liquidity     marketplace   strategically capitalizing   market inefficiencies.   develop   maintain proprietary, high-performance trading software       traders     execution   analytical tools available.     Hybrid Trader Trainee Summer Interns do:   Hybrid Trader Trainees   assigned   specific tech   trading desks     10 week long internship. Individuals   expected     learn   critical aspects   option pricing     terms   risk       technology works.     rotational period   work     Hybrid Trader Trainee Summer Interns   customize   experience.   specifically,   Hybrid Trader Trainee Summer Interns: Engage   continuous, hands-on training   includes education   option valuation, game theory, hedging, portfolio analysis,   simulated trading games Assist   order execution, position management, desk strategy meetings, trade checking   trade reconciliations Rotate   trading   technology desks   gain   perspective     marketplace     technologies Communicate   technology team members   enhance trading software Learn basics   design, implementing   testing enterprise software Develop strong architecture   development skills Lead   participate   special projects   enhance trader facing technologies     offer: Belvedere offers   casual work environment   promotes innovation   creativity.   employees’ health             provide   benefits     robust wellness program including: in-office yoga, health seminars   discounted gym memberships.   additional   traditional benefits     insurance   401k, Belvedere   recognizes   positive effects     strong work-life balance       flexible, paid time   policy     transit benefit program.",Internship,"Consumer   Family Financial Services, Economics - Business, Finance,   Systems, Economics,       Science","        for:         exceptional Hybrid Trader Trainees         variety   strong quantitative backgrounds     thrive     competitive   challenging work environment. Key qualities   great candidates: Effective communication skills     team-oriented attitude Strong quantitative, analytical,   problem solving skills Demonstrated participation   strategic competitive activities Training   demonstrated ability   learn language     C++, C#,   Python Knowledge     financial markets   trading industry     plus,       prerequisite Graduation     December 2016   May/June 2017 Sponsorship           position   candidates     GPA listed     resumes     recommended   candidates apply           2015-2016 campus roles: Business Analyst, Software Engineer, Trader Trainee   Hybrid Trader Trainee.   apply     role     interests       fits   skill-set."
Consultant,"FactSet     financial data   software company headquartered   Norwalk, Connecticut   offices   35 locations worldwide.     March 17, 2015, annual subscription   reached $1.005 billion,   headcount passed 6,900. FactSet     publicly traded       York Stock Exchange     symbol FDS   1996     NASDAQ       symbol   2009. FactSet   ranked #48   FORTUNE’s ""100   Places   Work"" list   2015     consistently   recognized     great workplace   leading publications. Consultant Job Description       FactSet's Consulting Services,   join   group committed   maintaining   reputation   industry-leading service.   team   composed   self-motivated individuals   thrive     cohesive environment   enjoy   challenge   real responsibility. Consultants     essential link   investment professionals   FactSet’s powerful software. Combining     understanding   finance   technology   specific expertise   FactSet software, consultants   clients streamline       analysis process. Consultants offer   unparalleled level   service     insight     intricacies   functionality   FactSet applications. Consultants assist clients     variety   ways: +   supporting FactSet applications   creating custom FactSet models, screens,   automation routes +   training clients     offices     training seminars +   providing creative solutions   expert telephone consultation   on-site consultation   rapidly growing company   FactSet   skilled individuals   propel   expansion. Consulting,   challenging   rewarding,   lay   foundation     long-term career   FactSet.",Career Employment – Graduating Students & Alumni,"Accounting, Economics - Business, Finance,   Systems, Economics, Mathematics","Requirements   ideal consultant     familiarity   –         learning   – financial markets     sound working knowledge   spreadsheets. Exceptional communication   interpersonal skills     vital,   consultants     constant contact   clients worldwide. Visiting clients     offices     integral       position,   consultants         travel   necessary.     consulting positions, FactSet typically hires   college graduates   investment professionals   1-2 years   experience.   candidates     strong PC skills, excellent interpersonal skills,     desire   learn   grow     ever-changing environment.       candidates     major,   encourage applicants   backgrounds   finance, MIS, economics, accounting, business administration,   mathematics.           opportunities   FactSet, visit     www.factset.com.com/careers, www.facebook.com/factset,   www.twitter.com/factset. FactSet     E-Verify participant   EOE/M/F/D/V Employer     supports diversity     workforce."
Intern - Compliance & Ethics: Compliance Risk Assessment," #   Positions 1 Job Type Professional/Technical Full/Part Time Internship Shift   Weekends Required   RequiredWhy   Farm®?   commitment   customers       No. 1 insurer   cars   homes     United States.     commitment     work force                 stay here.   90-year track record highlights   Farm     employer   choice committed   providing career opportunities       lifetime.   diverse backgrounds   talent,   meaningful work   comprehensive benefits, ""Like   good neighbor...""       slogan.                 business.Check     Video Gallery - https://careers.statefarm.com/employee/emp-see-for-yourself.asp   learn more.       DUTIES   RESPONSIBILITIES     POSITION?Various duties depending   department Completes training   workstations   job/department specific applications Demonstrates ability   effectively analyze   execute professional level work     assigned department Work   special projects   assigned     supervisor Demonstrates   understanding     Farm policies   procedures   KNOWLEDGE   SKILLS   NEEDED     SUCCESSFUL     POSITION?Must     college student Effective communication skills,   oral   written Ability   work   team environment ITEMS   NOTEPosition   eligible   merit increases ADDITIONAL INFORMATIONThis position       internship   Enterprise Compliance   Ethics   Compliance Risk Assessment. Specific project work     determined     manager.   HR Guidelines, Intern starting salary     $16/hour.   travel reimbursement   housing stipends         internship. BENEFITS: TOTAL REWARDSOur Total Rewards benefits package includes:Competitive starting salary Annual merit reviews Annual bonus potential         eligible   participate   Medical, Dental, Life   Disability Insurance, Vision, 401(k) Plan, Credit Union,   fully funded retirement pension plan,   more.For         company, careers   Total Rewards, visit www.statefarm.com/careers - http://www.statefarm.com/careers/index_emp.asp.       learn         expect     employment process   - http://www.statefarm.com/careers/emp_process.asp.   Farm Insurance     equal opportunity employer PI91826898 Apply Here: https://online2.statefarm.com/apps/careers/psc/cgprdext/RECRUITING/EREC_EXT/c/HRS_HRAM.HRS_CE.GBL?Page=HRS_CE_JOB_DTL_SFI&Action=A&JobOpeningId=55825&SiteId=1&PostingSeq=1",Internship,"  Science   Engineering, Electrical     Engineering, Engineering Physics, Actuarial Science, Communication, English, Mathematics,       Science","Preferred Qualifications: Desired Majors: Business Compliance & Ethics,   Technology, Business Administration, Risk Management, Pre-Law, Accounting, English/Communications 3.5 GPA     Proficiency   Microsoft Office® products Technical   functional expertise Candidates   demonstrate resourcefulness, possess strong written   oral communication skills   exhibit excellent relationship building   teamwork skills"
Intern - Compliance & Ethics: Compliance Consulting," #   Positions 1 Job Type Professional/Technical Full/Part Time Internship Shift   Weekends Required   RequiredWhy   Farm®?   commitment   customers       No. 1 insurer   cars   homes     United States.     commitment     work force                 stay here.   90-year track record highlights   Farm     employer   choice committed   providing career opportunities       lifetime.   diverse backgrounds   talent,   meaningful work   comprehensive benefits, ""Like   good neighbor...""       slogan.                 business.Check     Video Gallery - https://careers.statefarm.com/employee/emp-see-for-yourself.asp   learn more.       DUTIES   RESPONSIBILITIES     POSITION?Various duties depending   department Completes training   workstations   job/department specific applications Demonstrates ability   effectively analyze   execute professional level work     assigned department Work   special projects   assigned     supervisor Demonstrates   understanding     Farm policies   procedures   KNOWLEDGE   SKILLS   NEEDED     SUCCESSFUL     POSITION?Must     college student Effective communication skills,   oral   written Ability   work   team environment ITEMS   NOTEPosition   eligible   merit increases ADDITIONAL INFORMATIONThis position       internship   Enterprise Compliance   Ethics   Compliance Consulting. Specific project work     determined     manager.   HR Guidelines, Intern starting salary     $16/hour.   travel reimbursement   housing stipends         internship. BENEFITS: TOTAL REWARDSOur Total Rewards benefits package includes:Competitive starting salary Annual merit reviews Annual bonus potential         eligible   participate   Medical, Dental, Life   Disability Insurance, Vision, 401(k) Plan, Credit Union,   fully funded retirement pension plan,   more.For         company, careers   Total Rewards, visit www.statefarm.com/careers - http://www.statefarm.com/careers/index_emp.asp.       learn         expect     employment process   - http://www.statefarm.com/careers/emp_process.asp.   Farm Insurance     equal opportunity employer PI91827024 Apply Here: http://www.Click2apply.net/nxqnzfkr4j",Internship,"Undergraduate Majors,   Science   Engineering, Electrical     Engineering, Engineering Physics, Actuarial Science, Communication, English, Mathematics,       Science","Preferred Qualifications: Desired Majors: Business Compliance & Ethics,   Technology, Business Administration, Risk Management, Pre-Law, Accounting, English/Communications 3.5 GPA     Proficiency   Microsoft Office® products Technical   functional expertise Candidates   demonstrate resourcefulness, possess strong written   oral communication skills   exhibit excellent relationship building   teamwork skills"
Warehouse Associate,"Company Description Kaman Industrial Technologies,   largest subsidiary   Kaman Corporation,     leading distributor   industrial products     200 sales   distribution locations   North America. Kaman Industrial Technologies' objective     deliver   greatest total         customers   productive,   competitive,     profitable. Kaman     repesented     exclusive   Party Recruiting partner, Personify. Summary:   ensure   timely   accurate shipping   receiving   goods.   perform assembly, light maintenance, material handling   housekeeping   warehouse.   responsibilities     carried       manner consistent     goals   standards     Company. Responsibilities: Warehouse: -Receives incoming materials   products. -Verifies received packages   freight records. -Confirms accuracy/quality/quantity   materials received. -Records information, shortages   discrepancies     system. -Assembles orders   packs items   shipment     accurate   timely manner. Conveys orders   shipping area. -Shipping   material   includes boxing, packing, labeling,   preparation     relate Documents (Can include UPS, Fed Ex, Truck, etc.) -Light assembly (including hose assemblies). -Drives vehicle   deliver products     timely manner. -Picks   rejected/defective product. -Records daily delivery     obtains customer signature   delivery tickets Other: -Assist     Inventory Management activities   needed including Cycle Counting, Bin Programs   general Inventory Maintenance. -Housekeeping   light maintenance   warehouse, shop area, dock area       equipment. -Maintains equipment   work area   insure neatness     priority   safe workplace       co-workers. -Provides   high level   customer service     customers -Manages time effectively, meets personal goals   works effectively     members     team. -Performs   duties   assigned. -Presents   professional image     time   co-workers, customers   suppliers. -Follows company policies   procedures -Maintains stable performance   pressure   opposition   handles stress     manner     acceptable         organization. -Identifies   escalates priority issues.",Student Employment –   Campus,  Majors," Job Requirements: -High school diploma   general education degree (GED) -6 months warehouse     experience -Lift truck certification -Valid driver’s license     required Physical Demands:   physical demands       representative           met     employee     perform   essential functions     job. Reasonable accommodations         enable individuals   disabilities   perform   essential functions,   performing   duties     job,   employee   regularly required   stand.   employee frequently   required   walk;   hands   finger, handle,   feel; reach   hands   arms;   talk   hear.   employee   occasionally required   sit; climb   balance;   stoop, kneel, crouch,   crawl.   employee   regularly lift and/or       25 pounds, frequently lift and/or       75 pounds,   occasionally lift and/or       100 pounds. Specific vision abilities required     job include close vision"
    Capital   Data Science   Development Program-Undergraduate   Time,"    Capital   Data Science   Development Program-Undergraduate   Time Location:   Rock, TX Join   world-class global enterprise   group       drive meaning   action   data   building   long-term career.   Dell,   combine business intelligence, analytics, master data management,   exchange, operations   governance   support     agile transformation strategy driving actionable insights.   in-house training   development programs   enable   team members   build   careers   us, we’ve built   environment     team members feel inspired, connected       ability   succeed   day. Dell   seeking undergraduates   join Dell’s     Capital   Data Science group     opportunity   join IT’s Development Program aimed   developing IT’s future leadership.   development program combines three,   year, rotations   provide participants     wide breadth   experiences     advanced knowledge   Dell IT.   addition,   program offers visibility/networking   managers   executives, career development planning, soft skill training, developmental workshops,     robust feedback/performance review process. Potential roles include -Data Analysts -Analytic   Data Science -Global Data Integration -New Technology   Capability Enablement -Support Operations -Information Exchange -Innovation -Analytical Design -Process Quality, Standards, & Governance -Delivery Planning & Execution Company Description       100,000 team members globally,   promote   environment     rooted     entrepreneurial spirit       company   founded. Dell’s team members   committed   serving   communities, regularly volunteering     1,500 non-profit organizations.   company     received   accolades   employer   choice   energy conservation.   team members follow   open approach   technology innovation       technology   essential   human success.   work   us? -Life   Dell   collaborating   dedicated professionals     passion   technology. -When             improved,       work inventing   solution. -Our people demonstrate   winning culture   positive   meaningful relationships. -We invest     people   offer   series   programs   enables     pursue   career   fulfills   potential. -Our team members’ health   wellness     priority       rewarding       hard work. Dell     Equal Opportunity Employer   Prohibits Discrimination   Harassment     Kind: Dell   committed     principle   equal employment opportunity     employees     providing employees     work environment free   discrimination   harassment.   employment decisions   Dell   based   business needs, job requirements   individual qualifications,   regard   race, color, religion   belief, national, social   ethnic origin, sex (including pregnancy), age, physical, mental   sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union   domestic partnership status,       military service, family medical history   genetic information, family   parental status,       status protected     laws   regulations     locations     operate. Dell     tolerate discrimination   harassment based         characteristics. Dell encourages applicants     ages.",Career Employment – Graduating Students & Alumni,"Health   Management   Systems,   Systems,   Science   Engineering, Mechanical Engineering, Electrical     Engineering, Engineering Physics, Industrial   Systems Engineering, Data Analytics,       Science","Requirements -Bachelor’s degree     Science,   Systems, Engineering,   applicable field -3.0 minimum GPA -Previous relevant work experience -Demonstrated capabilities in: -Leadership -Practical application   theory -Driving           -Agile development   delivery -Problem solving   analytics -End-to-end thinking -Clear   effective communication -Dealing   ambiguity -Flexibility / adaptability     changing environment"
  -   Capital   Data Science Sr Advisor Graduate   Time,"  -   Capital   Data Science Sr Advisor Graduate   Time Location:   Rock, TX Join   world-class global enterprise   group       drive meaning   action   data   building   long-term career.   Dell,   combine business intelligence, analytics, master data management,   exchange, operations   governance   support     agile transformation strategy driving actionable insights.   in-house training   development programs   enable   team members   build   careers   us, we’ve built   environment     team members feel inspired, connected       ability   succeed   day. Dell   seeking graduates   lead global operations efforts   Master Data Management, Analytics, Business Intelligence,   Exchange, Data Governance, Innovation,   Support Operations     organization.   ideal candidate   develop     understanding     organization’s strategic goals   requirements   deliver capabilities         customers     organization. Potential roles include -Data Scientist -Information Analysis -Information Architecture -Master Data Management Strategist -Business Intelligence & Analytics -New Technology Integrations -Technical Product Manager -Industry Trends -Integration Architecture -Operations Engineering -Process Quality, Standards, & Governance -Delivery Planning & Execution Company Description       100,000 team members globally,   promote   environment     rooted     entrepreneurial spirit       company   founded. Dell’s team members   committed   serving   communities, regularly volunteering     1,500 non-profit organizations.   company     received   accolades   employer   choice   energy conservation.   team members follow   open approach   technology innovation       technology   essential   human success.   work   us? -Life   Dell   collaborating   dedicated professionals     passion   technology. -When             improved,       work inventing   solution. -Our people demonstrate   winning culture   positive   meaningful relationships. -We invest     people   offer   series   programs   enables     pursue   career   fulfills   potential. -Our team members’ health   wellness     priority       rewarding       hard work. Dell     Equal Opportunity Employer   Prohibits Discrimination   Harassment     Kind: Dell   committed     principle   equal employment opportunity     employees     providing employees     work environment free   discrimination   harassment.   employment decisions   Dell   based   business needs, job requirements   individual qualifications,   regard   race, color, religion   belief, national, social   ethnic origin, sex (including pregnancy), age, physical, mental   sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union   domestic partnership status,       military service, family medical history   genetic information, family   parental status,       status protected     laws   regulations     locations     operate. Dell     tolerate discrimination   harassment based         characteristics. Dell encourages applicants     ages.",Career Employment – Graduating Students & Alumni,"  Science   Engineering, Electrical     Engineering, Industrial   Systems Engineering, Mechanical Engineering, Mathematical Sciences - MMS, Mathematics - MS & PhD","Requirements -Graduate degree     Science, Engineering, Mathematics,   applicable field -3.0 minimum GPA -Previous relevant work experience -Demonstrated capabilities in: -Leadership -Practical application   theory -Driving           -Agile development   delivery -Problem solving   analytics -End-to-end thinking -Clear   effective communication -Dealing   ambiguity -Flexibility / adaptability     changing environment"
